SMILES,TITLE,TanimotoCombo,ColorTanimoto,Tanimoto
CC(C)(C)OC(=O)N1C[C@@H]([C@H](C1)C(=O)NC2CCN(CC2)C3CCCC3)c4cc(cc(c4)F)F,m_22bbh_6548892_18186402,0.74,0.22,0.52
CN1C(=O)NCC12CN(C2)C(=O)c3ccc4c(c3)C(=O)N(C4=O)C[C@@H]5CCCO5,m_22bbh_16897538_300244,0.71,0.22,0.49
C1C[C@@H](S(=O)(=O)C1)C(=O)NC[C@]2(CN3CCC2CC3)O,m_22bbh_10150878_11763792,0.94,0.25,0.69
COCCOC1CCC(CC1)C(=O)NCc2cc(ccc2OC)Br,m_22bbh_7349242_9600190,0.81,0.19,0.61
CC(C)(C)c1cc(n(n1)CC(=O)N2CCN(CC2)c3ccc(cn3)C(F)(F)F)N,m_22bbh_19176696_16794818,0.70,0.20,0.50
C[C@H](C(=O)N1CCN(CC1)C(=O)c2nc(nc(n2)N3CCOCC3)N)OC,m_22bbh_17604366_10335760,0.81,0.24,0.56
C[N@](CC(=O)N[C@@H]1CCCOc2c1ccc(c2)F)S(=O)(=O)c3ccc(s3)Cl,m_22bbh_8332948_60668,0.86,0.24,0.62
c1ccc2c(c1)C(=O)N(C2=O)C3(CCCC3)C(=O)N4CCN(CC4)C(=O)c5c(cccc5Cl)Cl,m_22bbh_1161284_10550924,0.81,0.32,0.49
c1ccc(cc1)OCCCC(=O)Nc2ccc(cc2)CNC(=O)c3cnc4ccccc4c3C(F)(F)F,m_22bbh_782842_294420,0.62,0.21,0.41
CCC1(CCCCCC1)CNC(=O)c2cc3c(=O)[nH]c(=O)n(c3nc2)CC,m_22bbh_15724860_329432,0.75,0.24,0.51
CC(=O)Nc1ccc(cc1)CCNC(=O)C[C@@H]2C(=O)N(C(=S)S2)C,m_22bbh_3312376_17513012,0.92,0.27,0.65
c1ccc2cc(c(cc2c1)C(=O)NCc3c(cccc3Cl)n4ccnc4)O,m_22bbh_10639734_467332,0.83,0.31,0.53
CCn1cc(c(n1)C(C)(C)C)C(=O)NC2CC(C2)n3ccnn3,m_22bbh_17567746_16766724,0.86,0.22,0.64
C[C@H](CC1CCN(CC1)C(=O)c2cncc3c2[nH]c(n3)O)NC(=O)OC(C)(C)C,m_22bbh_20631888_16803900,0.74,0.24,0.50
CNc1c(cccc1N)C(=O)N2CCC(CC2)c3c[nH]c4c3cc(cc4)OC,m_22bbh_1317910_21057508,0.79,0.32,0.47
CC(C)c1c(cn(n1)c2ccccc2)CNC(=O)Cc3ccc(cc3)OC(C)C,m_22bbh_7102044_9049144,0.71,0.22,0.49
