SMILES,TITLE,TanimotoCombo,ColorTanimoto,Tanimoto
C[C@H](C(=O)N1CCCCCC1)Oc2cccc(c2)C(C)C,m_22bbh_57673_953158,1.03,0.32,0.71
Cc1cc(c(n1c2cccc(c2)Br)C)C(=O)N3CCCCCC3,m_22bbh_57673_953206,0.85,0.33,0.52
Cc1cc(c(n1c2ccccc2Br)C)C(=O)N3CCCCCC3,m_22bbh_57673_953212,0.84,0.33,0.52
COc1cc(ccc1OC2CCCC2)C(=O)N3CCCCCC3,m_22bbh_57673_953440,0.86,0.41,0.45
CCOc1cc(sc1C(=O)N2CCCCCC2)c3ccccc3,m_22bbh_57673_953724,0.96,0.34,0.62
c1ccc(cc1)c2cc(c(s2)C(=O)N3CCCCCC3)OCC(=O)N4CCCCC4,m_22bbh_57673_953732,0.85,0.27,0.58
c1ccc2cc(ccc2c1)c3nnc(o3)SCC(=O)N4CCCCCC4,m_22bbh_57673_954512,0.93,0.35,0.59
Cc1cc(c(c(c1)C)C(=O)CCCC(=O)N2CCCCCC2)C,m_22bbh_57673_998840,0.96,0.28,0.69
CC(C)C(=O)Nc1cc(c(cc1C(=O)N2CCCCCC2)OC)OC,m_22bbh_57673_999202,0.96,0.24,0.72
CCC(=O)N1CCC[C@@H](C1)C(=O)N2CCCCCC2,m_22bbh_57673_999264,1.01,0.27,0.74
c1ccc(cc1)CS(=O)(=O)Nc2cccc(c2)C(=O)N3CCCCCC3,m_22bbh_57673_999266,0.84,0.27,0.58
c1cc(cc(c1)Cl)c2ccc(s2)C(=O)N3CCCCCC3,m_22bbh_57673_999304,0.85,0.37,0.48
CCC(=O)Nc1cccc(c1)C(=O)N2CCCCCC2,m_22bbh_57673_999588,0.93,0.29,0.64
c1cc(ccc1CC(=O)Nc2ccc(cc2)C(=O)N3CCCCCC3)Br,m_22bbh_57673_999600,0.69,0.22,0.46
Cc1cc(cc(c1)C2(CCC2)C(=O)N3CCCCCC3)C,m_22bbh_57673_999750,1.26,0.51,0.75
c1cc(cc(c1)Br)N2CC[C@H](C2=O)C(=O)N3CCCCCC3,m_22bbh_57673_1000212,0.84,0.21,0.64
c1cc(c(cc1Cl)Cl)C2=NO[C@H](C2)C(=O)N3CCCCCC3,m_22bbh_57673_1000492,0.98,0.34,0.64
COc1cc(sc1C(=O)N2CCCCCC2)c3ccccc3,m_22bbh_57673_1000606,0.86,0.29,0.57
Cc1c(sc2c1c(ncn2)SCCC(=O)N3CCCCCC3)C,m_22bbh_57673_1000704,1.01,0.38,0.63
CCn1c(=O)c2ccc(cc2[nH]c1=O)C(=O)N3CCCCCC3,m_22bbh_57673_1000710,0.87,0.32,0.55
Cn1cc(c(n1)C(F)(F)F)C(=O)N2CCCCCC2,m_22bbh_57673_1000714,1.27,0.56,0.72
C[C@H](C(=O)N1CCCCCC1)S(=O)(=O)c2ccc(cc2)F,m_22bbh_57673_1000718,1.13,0.39,0.74
Cc1nccc(n1)C(=O)N2CCCCCC2,m_22bbh_57673_1000722,0.89,0.20,0.69
C[C@H](C(=O)N1CCCCCC1)Sc2ccc(cc2)Br,m_22bbh_57673_1000852,1.07,0.31,0.76
C[C@H](C(=O)N1CCCCCC1)Oc2ccc(cc2F)Br,m_22bbh_57673_1000976,1.10,0.32,0.78
CCOc1ccc2cc([nH]c2c1)C(=O)N3CCCCCC3,m_22bbh_57673_1000988,0.86,0.29,0.57
Cc1cc(ccc1Cl)O[C@H](C)C(=O)N2CCCCCC2,m_22bbh_57673_1001056,1.13,0.36,0.77
Cc1cc(cc(c1)C2(CC2)C(=O)N3CCCCCC3)C,m_22bbh_57673_1001132,1.13,0.40,0.72
c1ccc(c(c1)C(=O)N2CCCCCC2)Oc3cccc(c3)Br,m_22bbh_57673_1001940,1.19,0.38,0.81
c1ccc(cc1)CCOCCCC(=O)N2CCCCCC2,m_22bbh_57673_1001960,0.99,0.37,0.62
c1cc(c2c(c1)OCO2)C(=O)N3CCCCCC3,m_22bbh_57673_1002278,1.01,0.36,0.64
c1c(cn(n1)CC(=O)N2CCCCCC2)Br,m_22bbh_57673_1002406,0.96,0.33,0.63
CCCc1c(c([nH]c1C(=O)N2CCCCCC2)C)C(=O)C,m_22bbh_57673_1003088,0.99,0.30,0.69
Cc1c(c(n2c(n1)ccn2)C)CCC(=O)N3CCCCCC3,m_22bbh_57673_1003110,0.97,0.30,0.67
CC1(Cc2cccc(c2O1)OCCC(=O)N3CCCCCC3)C,m_22bbh_57673_1009136,0.93,0.25,0.67
c1c(nsn1)C(=O)N2CCCCCC2,m_22bbh_57673_1009252,0.91,0.32,0.59
c1c(snn1)C(=O)N2CCCCCC2,m_22bbh_57673_1009254,0.92,0.39,0.53
Cc1ccc(cn1)CC(=O)N2CCCCCC2,m_22bbh_57673_1009256,1.03,0.32,0.70
c1c(nn[nH]1)C(=O)N2CCCCCC2,m_22bbh_57673_1009260,0.86,0.33,0.53
Cc1cccc(c1)NC(=O)N2CCC[C@@H](C2)C(=O)N3CCCCCC3,m_22bbh_57673_1009268,0.92,0.23,0.69
Cc1ccc(c(=O)[nH]1)C(=O)N2CCCCCC2,m_22bbh_57673_1009270,0.96,0.28,0.68
C1CCCN(CC1)C(=O)C[C@@H]2CCC[C@H](C2)C(F)(F)F,m_22bbh_57673_1009334,1.01,0.41,0.60
c1cc(c(cc1CCCC(=O)N2CCCCCC2)Cl)Cl,m_22bbh_57673_1009440,1.01,0.39,0.62
c1cc(ccc1OCCCC(=O)N2CCCCCC2)Cl,m_22bbh_57673_1009744,1.07,0.34,0.73
c1ccc(c(c1)OCCC(=O)N2CCCCCC2)Br,m_22bbh_57673_1009828,1.01,0.30,0.70
c1cc(c(cc1Cl)Cl)OCCC(=O)N2CCCCCC2,m_22bbh_57673_1009850,1.02,0.29,0.73
CC(C)CC(=O)N[C@H](C(C)C)C(=O)N1CCCCCC1,m_22bbh_57673_1009976,0.95,0.18,0.77
Cc1c(c(n(n1)c2ccccn2)C)CC(=O)N3CCCCCC3,m_22bbh_57673_1009990,0.90,0.34,0.56
c1ccc(c(c1)CCC(=O)N2CCCCCC2)Br,m_22bbh_57673_1010028,1.06,0.37,0.69
c1cc(c(cc1Br)Cl)C(=O)N2CCCCCC2,m_22bbh_57673_1010064,0.93,0.22,0.71
C[C@H](CC(=O)N1CCCCCC1)CC(C)(C)C,m_22bbh_57673_1010078,0.93,0.20,0.74
Cc1cc(ccc1C(=O)N2CCCCCC2)Br,m_22bbh_57673_1010088,0.93,0.22,0.71
CC(C)(C)c1cc(n(n1)C)C(=O)N2CCCCCC2,m_22bbh_57673_1010102,1.10,0.49,0.60
CC(=O)NC1(CCCCC1)C(=O)N2CCCCCC2,m_22bbh_57673_1027224,0.96,0.32,0.64
c1cc(ccc1c2cnco2)C(=O)N3CCCCCC3,m_22bbh_57673_1027236,0.82,0.33,0.50
Cc1c(c2ncccn2n1)C(=O)N3CCCCCC3,m_22bbh_57673_1027250,1.09,0.39,0.70
CC(C)Sc1ccc(cc1)C(=O)N2CCCCCC2,m_22bbh_57673_1027728,0.93,0.37,0.56
c1ccc(cc1)CSc2ccc(cc2)C(=O)N3CCCCCC3,m_22bbh_57673_1027744,0.93,0.36,0.58
CC(C)(C)n1cc(cn1)C(=O)N2CCCCCC2,m_22bbh_57673_1028356,1.02,0.49,0.53
CS(=O)(=O)c1cccc(c1)OCC(=O)N2CCCCCC2,m_22bbh_57673_1028652,0.94,0.27,0.68
Cc1cc(n2c(n1)c(c(n2)C)C(=O)N3CCCCCC3)C,m_22bbh_57673_1028830,1.09,0.39,0.70
c1cc(cc(c1)Cl)C2(CCCCC2)C(=O)N3CCCCCC3,m_22bbh_57673_1029418,1.19,0.48,0.71
c1ccnc(c1)CSCC(=O)N2CCCCCC2,m_22bbh_57673_1032700,1.02,0.39,0.63
c1cnccc1CSCC(=O)N2CCCCCC2,m_22bbh_57673_1032702,1.00,0.27,0.74
Cc1c(c(n(n1)CC(=O)N2CCCCCC2)C)Br,m_22bbh_57673_1032712,0.93,0.31,0.62
c1ccnc(c1)CSCCC(=O)N2CCCCCC2,m_22bbh_57673_1032718,0.92,0.31,0.60
Cc1c(c(=O)[nH]c(n1)c2ccccn2)CC(=O)N3CCCCCC3,m_22bbh_57673_1032734,0.72,0.26,0.46
C[N@@](c1ccccc1)S(=O)(=O)c2cc(ccc2Br)C(=O)N3CCCCCC3,m_22bbh_57673_1032858,0.95,0.29,0.66
